Región;Nombre Centro;Latitud;Longitud
Cundinamarca;CENTRO DE DESARROLLO AGROEMPRESARIAL;4,8608100999999975;-74,05853720000005
Cundinamarca;CENTRO DE DESARROLLO AGROINDUSTRIAL Y EMPRESARIAL;5,007138;-74,4788595
Cundinamarca;CENTRO DE LA TECNOLOGÍA DEL DISEÑO Y LA PRODUCTIVIDAD EMPRESARIAL;4,305304600000006;-74,80242180000005
Cundinamarca;CENTRO INDUSTRIAL Y DESARROLLO EMPRESARIAL DE SOACHA;4,585320000000014;-74,219968
Cundinamarca;CENTRO AGROECOLÓGICO Y EMPRESARIAL​​;4,337601399999993;-74,36474379999999
Huila;CENTRO AGROEMPRESARIAL Y DESARROLLO PECUARIO DEL HUILA;2,199915700000021;-75,62613110000007
Huila;CENTRO DE DESARROLLO AGROEMPRESARIAL Y TURÍSTICO DEL HUILA;2,3907833000000274;-75,89355610000001
Huila;CENTRO DE FORMACIÓN AGROINDUSTRIAL;2,6155809999999975;-75,35938510000005
Huila;CENTRO DE GESTIÓN Y DESARROLLO SOSTENIBLE SURCOLOMBIANO;1,8551367999999981;-76,04761000000008
Huila;CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS​;2,962569300000006;-75,285345
Norte de Santander;CENTRO DE FORMACIÓN PARA EL DESARROLLO RURAL Y MINERO;7,9014848000000155;-72,50328970000004
Norte de Santander;CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS​;8,23302210000001;-73,35303340000007
Quindío;CENTRO AGROINDUSTR​IAL;4,5725696000000395;-75,64006940000007
Quindío;CENTRO DE COMERCIO, INDUSTRIA Y TURÍSMO;4,541025200000026;-75,66828399999991
Quindío;CENTRO PARA EL DESARROLLO TECNOLÓGICO DE LA CONSTRUCCIÓN;4,5725696000000395;-75,64006940000007
Risaralda;CENTRO DE ATENCIÓN AL SECTOR AG​ROPECUARIO;4,814009999999997;-75,70082000000008
Risaralda;CENTRO DE COMERCIO Y SERVICIOS;4,814009999999997;-75,70082000000008
Risaralda;CENTRO DE DISEÑO E INNOVACIÓN TECNOLÓGICA INDUSTRIAL;4,836499600000016;-75,68135710000001
Santander;CENTRO AGROEMPRESARIAL Y TURÍSTICO DE LOS ANDES;6,701145400000005;-72,7345522
Santander;CENTRO AGROTURÍSTICO;6,558987600000014;-73,14045619999999
Santander;CENTRO DE ATENCIÓN AL SECTOR AGROPECUARIO;6,991912400000018;-73,06812639999998
Santander;CENTRO DE GESTIÓN AGROEMPRESARIAL DEL ORIENTE;5,934346099999995;-73,61503420000008
Santander;CENTRO DE SERVICIOS EMPRESARIALES Y TURÍSTICOS;7,133616199999996;-73,11980970000002
Santander;CENTRO INDUSTRIAL DE MATENIMIENTO INTEGRAL;7,0810485000000165;-73,16734740000004
Santander;CENTRO INDUSTRIAL DEL DISEÑO Y LA MANUFACTURA;7,0642228000000165;-73,09554130000004
Santander;CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLÓGICO​;7,065560600000032;-73,8515031
Tolima;CENTRO AGROPECUARIO LA GRANJA;4,171928699999995;-74,92747930000002	
Tolima;CENTRO DE COMERICIO Y SERVICIOS;4,431779999999982;-75,21109000000001
Cauca;CENTRO AGROPECUARIO;2,483108800000006;-76,56190889999999	
Cauca;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2,4832482;-76,56177339999999
Cauca;CENTRO DE COMERCIO Y SERVICIOS​;2,440903000000009;-76,60304729999996
Chocó;CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD​​;5,693401999999993;-76,66126489999999
Nariño;CENTRO SURCOLOMBIANO DE L​OGÍSTICA INTERNACIONAL;0,8295406999999974;-77,64877079999997
Nariño;CENTRO AGROINDUSTRIAL Y PESQUERO DE LA COSTA PACÍFICA;1,806605500000002;-78,76188760000002
Nariño;CENTRO INTERNACIONAL DE PRODUCCIÓN LIMPIA – LOPE;1,2066794999999884;-77,25159999999994
Valle;CENTRO AGROPECUA​RIO DE BUGA;3,8918447000000116;-76,31237369999997
Valle;CENTRO LATINOAMERICANO DE ESPECIES MENORES;4,046509999999994;-76,20542
Valle;CENTRO NÁUTICO PESQUERO DE BUENAVENTURA;3,8813869000000287;-77,04219460000007
Valle;CENTRO DE ELECTRICIDAD Y AUTOMATIZACIÓN INDUSTRIAL;3,467784100000002;-76,50115
Valle;CENTRO DE LA CONSTRUCCIÓN;3,4412434999999952;-76,50761660000006
Valle;CENTRO DE DISEÑO TECNOLÓGICO INDUSTRIAL;3,4682401000000107;-76,49951929999997
Valle;CENTRO DE GESTIÓN TECNOLÓGICA DE SERVICIOS;3,466719400000008;-76,49980900000003
Valle;CENTRO DE TECNOLOGÍAS AGROINDUSTRIALES;4,745150200000026;-75,91465889999995
Valle;CENTRO DE BIOTECNOLOGÍA INDUSTRIAL;3,5371696999999958;-76,30007899999998
Valle;CENTRO NACIONAL DE ASISTENCIA TÉCNICA A LA INDUSTRIA - ASTIN;3,4682401000000107;-76,49951929999997
Amazonas;CENTRO PARA LA BIODIVERSIDAD Y EL TURISMO DEL AMAZONAS​;-4,199353299999986;-69,94667879999997
Caquetá;CENTRO TECNOLÓGICO DE LA AMAZONÍA​​;1,603821200000005;-75,58330890000002
Guanía;CENTRO AMBIENTAL Y ECOTURÍSTICO DEL NORORIENTE AMAZÓNICO​​;3,8758398000000183;-67,91991689999998
Putumayo;CENTRO AGROFORESTAL Y ACUÍCOLA ARAPAIMA​​;0,5050530999999979;-76,49951600000009
Vaupés;CENTRO AGROPECUARIO Y DE SERVICIOS AMBIENTALES JIRIJIRIMO​;1,2490762000000049;-70,23552330000001
Arauca;CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA​​;7,094557900000001;-70,75744629999997
Casanare;CENTRO AGROINDUSTRIAL Y DE FORTALECIMIENTO EMPRESARIAL​;5,323450700000014;-72,389431
Guaviare;CENTRO DE DESARROLLO AGROINDUSTRIAL, TURÍSTICO Y TECNOLÓGICO DEL GUAVIARE;2,5733013999999956;-72,64309559999998
Meta;CENTRO AGROINDUSTRIAL DEL META;3,541410400000003;-73,70835639999996
Meta;CENTRO AGROINDUSTRIAL DEL META;3,541410400000003;-73,70835639999996
Meta;CENTRO DE INDUSTRIA Y SERVICIOS DEL META​;4,139524499999987;-73,61336319999998
Vichada;CENTRO DE PRODUCCIÓN Y TRANSFORMACIÓN AGROINDUSTRIAL DE LA ORINOQUÍA​;6,1832815000000085;-67,4849352
